ID,sci-name,latitude,longitude,dia-cm,gender,notes
4-1141,Fraxinus pennsylvanica,36.138589,-86.802902,31.67183368,,
9-108,Fraxinus pennsylvanica,36.138973,-86.798006,31.35352379,,
4-499,Fraxinus pennsylvanica,36.138905,-86.803994,31.19436885,,
5-595,Fraxinus pennsylvanica,36.138625,-86.809415,31.19436885,,
5-904,Fraxinus pennsylvanica,36.141457,-86.806464,31.19436885,,
2-711,Fraxinus americana,36.146696,-86.801725,31,female,gender documented with phone photo
3-740,Fraxinus pennsylvanica,36.147653,-86.805589,30.87605896,,
5-1334,Fraxinus pennsylvanica,36.141836,-86.8106,30.62141105,,
5-258,Fraxinus pennsylvanica,36.142086,-86.810398,30.08028424,,
4-108,Fraxinus pennsylvanica,36.137887,-86.802221,30,,
4-1123,Fraxinus pennsylvanica,36.138963,-86.803284,30,,
4-1267,Fraxinus pennsylvanica,36.138889,-86.803818,30,,
4-162,Fraxinus pennsylvanica,36.138833,-86.803499,30,,
4-233,Fraxinus pennsylvanica,36.139003,-86.803689,30,,
4-674,Fraxinus pennsylvanica,36.138812,-86.80377,30,,
4-879,Fraxinus pennsylvanica,36.138839,-86.803306,30,,
5-554,Fraxinus pennsylvanica,36.141392,-86.806571,30,,
5-626,Fraxinus pennsylvanica,36.13862,-86.809322,30,,
4-1003,Fraxinus pennsylvanica,36.137933,-86.802152,29.47549546,,
4-807,Fraxinus pennsylvanica,36.138864,-86.803561,29.28450953,,
9-324,Fraxinus americana,36.145365,-86.807286,29.12535459,male,gender documented with phone photo
5-147,Fraxinus pennsylvanica,36.142239,-86.810772,29.0935236,,
1-250,Fraxinus pennsylvanica,36.143743,-86.797879,28.96619964,male,observed by SSMV
5-1403,Fraxinus pennsylvanica,36.142431,-86.811764,28.64788976,,
5-494,Fraxinus pennsylvanica,36.14137,-86.812679,28.32957987,,
4-176,Fraxinus pennsylvanica,36.13909,-86.804618,28.17042493,,
4-526,Fraxinus pennsylvanica,36.138991,-86.803556,28.01126998,,
5-1205,Fraxinus pennsylvanica,36.141976,-86.810701,27.72479109,,
5-165,Fraxinus pennsylvanica,36.141452,-86.812738,27.6929601,,
3-625,Fraxinus americana,36.147947,-86.804634,27.37465021,female,gender documented with phone photo
4-142,Fraxinus pennsylvanica,36.138935,-86.804267,27.26324175,,
4-204,Fraxinus pennsylvanica,36.13799,-86.801706,27.21549527,,
4-123,Fraxinus pennsylvanica,36.138115,-86.801732,27.05634033,,
2-441,Fraxinus americana,36.146902,-86.802054,27,female,gender documented with phone photo
2-620,Fraxinus americana,36.14649,-86.800253,27,female,gender documented with phone photo
4-205,Fraxinus pennsylvanica,36.138776,-86.803724,26.5788755,,
9-184,Fraxinus pennsylvanica,36.138827,-86.799436,26.03774869,,
5-760,Fraxinus pennsylvanica,36.141542,-86.81229,25.87859375,,
3-186,Fraxinus pennsylvanica,36.14742,-86.805979,25.46479089,,
H,Fraxinus americana,36.14675,-86.80239,24.66901618,female,gender documented with phone photo
1-888,Fraxinus pennsylvanica,36.143463,-86.797921,23,,
5-1372,Fraxinus pennsylvanica,36.142623,-86.811072,23,,
5-1441,Fraxinus pennsylvanica,36.138542,-86.808878,22.91831181,,
5-1835,Fraxinus pennsylvanica,36.141408,-86.806412,22.60000192,,
3-45,Fraxinus pennsylvanica,36.14767,-86.805516,21.64507226,,
4-685,Fraxinus pennsylvanica,36.138812,-86.803365,21.32676237,,
5-468,Fraxinus pennsylvanica,36.141895,-86.812583,18.4619734,,
4-582,Fraxinus pennsylvanica,36.141533,-86.800371,18.14366351,,
1-93,Fraxinus pennsylvanica,36.140531,-86.797983,18,,
5-1277,Fraxinus pennsylvanica,36.138518,-86.808379,17.82535363,,
1-632,Fraxinus pennsylvanica,36.143732,-86.79735,16.87042397,male,observed by SSMV
4-385,Fraxinus americana,36.144348,-86.803773,16.87042397,,
1-342,Fraxinus pennsylvanica,36.143963,-86.799493,16.55211408,,
1-894,Fraxinus americana,36.141335,-86.798164,13.20986028,,
1-1167,Fraxinus americana,36.141036,-86.796522,12.73239545,,
1-833,Fraxinus americana,36.139839,-86.798112,11.20450799,,
1-1161,Fraxinus americana,36.141066,-86.796859,9.708451529,,
